CREATE TABLE Customer (
    CustomerID INT PRIMARY KEY,
    Name VARCHAR(100),
    Age INT,
    Gender VARCHAR(10),
    SubscriptionType VARCHAR(20),
    SubscriptionDate DATE,
    LastLoginDate DATE,
    TotalSessions INT,
    FeedbackScore INT,
    IsChurned INT
);



INSERT INTO Customer VALUES (1, 'Mahesh Gupta_1', 24, 'Male', 'Premium', '2024-01-18', '2026-03-13', 113, 2, 0);
INSERT INTO Customer VALUES (14, 'Anika Kulkarni_14', 61, 'Other', 'Standard', '2025-12-08', '2026-03-17', 202, 4, 0);
INSERT INTO Customer VALUES (15, 'Simran Pandya_15', 43, 'Male', 'Basic', '2024-09-06', '2026-01-27', 312, 4, 0);
INSERT INTO Customer VALUES (16, 'Simran Yadav_16', 23, 'Female', 'Basic', '2025-04-18', '2026-02-04', 246, 5, 0);
INSERT INTO Customer VALUES (17, 'Myra Agarwal_17', 50, 'Other', 'Standard', '2024-08-01', '2026-02-10', 343, 1, 1);
INSERT INTO Customer VALUES (18, 'Krishna Desai_18', 67, 'Other', 'Premium', '2025-08-01', '2026-03-20', 4, 1, 0);
INSERT INTO Customer VALUES (19, 'Riya Pandya_19', 24, 'Other', 'Premium', '2025-11-01', '2026-03-04', 279, 5, 0);
INSERT INTO Customer VALUES (20, 'Aditya Gupta_20', 27, 'Female', 'Basic', '2025-04-04', '2026-02-05', 64, 5, 1);
INSERT INTO Customer VALUES (21, 'Anika Menon_21', 67, 'Other', 'Basic', '2025-12-03', '2026-01-27', 92, 5, 1);
INSERT INTO Customer VALUES (22, 'Rahul Pandya_22', 64, 'Male', 'Premium', '2025-08-29', '2026-02-18', 156, 5, 0);
INSERT INTO Customer VALUES (23, 'Vihaan Gupta_23', 48, 'Other', 'Standard', '2026-02-28', '2026-03-14', 493, 2, 0);
INSERT INTO Customer VALUES (24, 'Alok Singh_24', 33, 'Female', 'Basic', '2024-09-28', '2026-03-05', 127, 3, 0);
INSERT INTO Customer VALUES (25, 'Kavya Yadav_25', 34, 'Male', 'Standard', '2024-10-08', '2026-02-19', 204, 5, 1);
INSERT INTO Customer VALUES (26, 'Aditya Kapoor_26', 56, 'Female', 'Premium', '2026-04-18', '2026-03-22', 78, 3, 0);
INSERT INTO Customer VALUES (27, 'Reyansh Kapoor_27', 39, 'Other', 'Premium', '2026-02-04', '2026-02-18', 158, 3, 0);
INSERT INTO Customer VALUES (28, 'Arjun Agarwal_28', 58, 'Female', 'Basic', '2023-09-03', '2026-02-23', 427, 4, 0);
INSERT INTO Customer VALUES (29, 'Anika Patel_29', 25, 'Male', 'Basic', '2024-11-20', '2026-02-24', 0, 2, 0);
INSERT INTO Customer VALUES (30, 'Anika Joshi_30', 45, 'Other', 'Standard', '2026-01-08', '2026-03-08', 95, 2, 0);
INSERT INTO Customer VALUES (31, 'Meera Gupta_31', 64, 'Other', 'Basic', '2024-07-30', '2026-01-31', 169, 4, 0);
INSERT INTO Customer VALUES (32, 'Anika Das_32', 51, 'Other', 'Basic', '2024-10-26', '2026-03-04', 493, 5, 1);
INSERT INTO Customer VALUES (33, 'Vikas Iyer_33', 35, 'Male', 'Basic', '2026-02-19', '2026-03-12', 375, 3, 1);
INSERT INTO Customer VALUES (34, 'Krishna Yadav_34', 63, 'Male', 'Basic', '2025-07-09', '2026-04-06', 342, 3, 1);
INSERT INTO Customer VALUES (35, 'Nisha Bansal_35', 65, 'Other', 'Premium', '2025-05-17', '2026-04-03', 74, 2, 0);
INSERT INTO Customer VALUES (36, 'Shaurya Kapoor_36', 61, 'Other', 'Basic', '2024-07-22', '2026-04-07', 205, 3, 1);
INSERT INTO Customer VALUES (37, 'Vikas Yadav_37', 47, 'Male', 'Standard', '2025-06-24', '2026-04-11', 168, 3, 1);
INSERT INTO Customer VALUES (38, 'Nisha Das_38', 19, 'Male', 'Premium', '2026-03-16', '2026-01-24', 448, 5, 0);
INSERT INTO Customer VALUES (39, 'Sneha Kapoor_39', 35, 'Male', 'Basic', '2024-10-08', '2026-01-18', 478, 2, 0);
INSERT INTO Customer VALUES (40, 'Pooja Chauhan_40', 46, 'Male', 'Standard', '2024-10-20', '2026-01-23', 147, 4, 1);
INSERT INTO Customer VALUES (41, 'Neha Pandya_41', 59, 'Male', 'Basic', '2023-12-17', '2026-01-22', 67, 2, 1);
INSERT INTO Customer VALUES (42, 'Rohan Pillai_42', 19, 'Male', 'Basic', '2026-02-02', '2026-03-11', 443, 5, 0);
INSERT INTO Customer VALUES (43, 'Shaurya Trivedi_43', 51, 'Other', 'Premium', '2026-02-28', '2026-01-29', 109, 4, 0);
INSERT INTO Customer VALUES (44, 'Pooja Agarwal_44', 22, 'Other', 'Standard', '2024-05-15', '2026-03-02', 368, 3, 1);
INSERT INTO Customer VALUES (45, 'Pari Jain_45', 22, 'Male', 'Basic', '2025-02-18', '2026-03-28', 104, 2, 1);
INSERT INTO Customer VALUES (46, 'Karan Verma_46', 52, 'Female', 'Basic', '2023-10-22', '2026-03-28', 282, 5, 1);
INSERT INTO Customer VALUES (47, 'Krishna Shah_47', 63, 'Other', 'Basic', '2025-05-05', '2026-01-24', 191, 3, 0);
INSERT INTO Customer VALUES (48, 'Sneha Chatterjee_48', 20, 'Male', 'Standard', '2025-01-11', '2026-02-10', 371, 3, 1);
INSERT INTO Customer VALUES (49, 'Arjun Iyer_49', 51, 'Male', 'Basic', '2025-04-26', '2026-04-01', 178, 1, 1);
INSERT INTO Customer VALUES (50, 'Kavya Mehta_50', 34, 'Male', 'Standard', '2023-12-15', '2026-02-23', 169, 1, 0);
INSERT INTO Customer VALUES (51, 'Suresh Trivedi_51', 61, 'Female', 'Premium', '2025-06-03', '2026-03-27', 476, 5, 1);
INSERT INTO Customer VALUES (52, 'Shaurya Desai_52', 60, 'Male', 'Standard', '2025-08-17', '2026-03-12', 438, 4, 1);
INSERT INTO Customer VALUES (53, 'Ishaan Iyer_53', 20, 'Female', 'Premium', '2026-04-12', '2026-02-08', 120, 4, 1);
INSERT INTO Customer VALUES (54, 'Arjun Naidu_54', 21, 'Other', 'Premium', '2025-07-27', '2026-04-13', 66, 2, 0);
INSERT INTO Customer VALUES (55, 'Ankit Verma_55', 58, 'Other', 'Premium', '2024-09-22', '2026-03-27', 465, 3, 1);
INSERT INTO Customer VALUES (56, 'Myra Kulkarni_56', 43, 'Male', 'Standard', '2026-04-21', '2026-02-11', 245, 3, 0);
INSERT INTO Customer VALUES (57, 'Saanvi Mishra_57', 24, 'Other', 'Standard', '2026-02-13', '2026-02-10', 446, 4, 1);
INSERT INTO Customer VALUES (58, 'Anika Sharma_58', 58, 'Female', 'Standard', '2024-08-23', '2026-01-20', 333, 1, 0);
INSERT INTO Customer VALUES (59, 'Arjun Verma_59', 30, 'Other', 'Premium', '2024-08-17', '2026-03-17', 400, 4, 1);
INSERT INTO Customer VALUES (60, 'Suresh Gupta_60', 52, 'Male', 'Premium', '2024-10-01', '2026-03-14', 6, 4, 1);
INSERT INTO Customer VALUES (61, 'Ishaan Agarwal_61', 58, 'Male', 'Basic', '2024-10-31', '2026-01-30', 96, 3, 1);
INSERT INTO Customer VALUES (62, 'Krishna Kapoor_62', 55, 'Female', 'Standard', '2025-04-23', '2026-03-29', 343, 2, 1);
INSERT INTO Customer VALUES (63, 'Aditya Joshi_63', 27, 'Female', 'Standard', '2025-09-10', '2026-04-04', 497, 1, 0);
INSERT INTO Customer VALUES (64, 'Ishaan Desai_64', 53, 'Male', 'Basic', '2023-08-12', '2026-03-16', 66, 5, 0);
INSERT INTO Customer VALUES (65, 'Diya Kapoor_65', 19, 'Male', 'Standard', '2024-07-07', '2026-03-01', 310, 4, 0);
INSERT INTO Customer VALUES (66, 'Aadhya Gupta_66', 40, 'Male', 'Standard', '2024-04-02', '2026-02-17', 285, 2, 0);
INSERT INTO Customer VALUES (67, 'Deepak Iyer_67', 62, 'Female', 'Standard', '2024-08-25', '2026-03-07', 136, 2, 0);
INSERT INTO Customer VALUES (68, 'Saanvi Desai_68', 38, 'Male', 'Standard', '2023-10-23', '2026-04-07', 278, 3, 0);
INSERT INTO Customer VALUES (69, 'Ira Kapoor_69', 35, 'Female', 'Basic', '2025-03-10', '2026-04-19', 371, 1, 0);
INSERT INTO Customer VALUES (70, 'Riya Shetty_70', 26, 'Other', 'Premium', '2024-11-15', '2026-03-24', 287, 4, 1);
INSERT INTO Customer VALUES (71, 'Ankit Mishra_71', 62, 'Male', 'Basic', '2025-05-23', '2026-03-03', 156, 2, 1);
INSERT INTO Customer VALUES (72, 'Saanvi Agarwal_72', 21, 'Other', 'Basic', '2025-02-02', '2026-03-08', 42, 2, 1);
INSERT INTO Customer VALUES (73, 'Kavya Trivedi_73', 67, 'Male', 'Standard', '2025-01-17', '2026-04-12', 191, 5, 1);
INSERT INTO Customer VALUES (74, 'Karan Trivedi_74', 19, 'Other', 'Basic', '2024-10-14', '2026-03-30', 410, 1, 1);
INSERT INTO Customer VALUES (75, 'Diya Naidu_75', 33, 'Other', 'Premium', '2025-08-21', '2026-03-27', 495, 3, 1);
INSERT INTO Customer VALUES (76, 'Nisha Nair_76', 57, 'Male', 'Basic', '2025-11-17', '2026-02-13', 444, 3, 1);
INSERT INTO Customer VALUES (77, 'Mahesh Naidu_77', 18, 'Male', 'Basic', '2024-10-14', '2026-02-11', 364, 2, 1);
INSERT INTO Customer VALUES (78, 'Deepak Bansal_78', 68, 'Other', 'Standard', '2025-12-08', '2026-01-24', 412, 5, 0);
INSERT INTO Customer VALUES (79, 'Rohan Naidu_79', 66, 'Male', 'Basic', '2023-11-19', '2026-04-12', 151, 3, 1);
INSERT INTO Customer VALUES (80, 'Ishaan Gupta_80', 48, 'Male', 'Standard', '2023-08-14', '2026-03-27', 86, 5, 1);
INSERT INTO Customer VALUES (81, 'Aadhya Iyer_81', 53, 'Male', 'Standard', '2025-01-11', '2026-01-28', 323, 1, 1);
INSERT INTO Customer VALUES (82, 'Aditya Das_82', 40, 'Other', 'Premium', '2025-05-06', '2026-03-10', 161, 2, 1);
INSERT INTO Customer VALUES (83, 'Alok Yadav_83', 28, 'Other', 'Basic', '2024-09-05', '2026-03-02', 186, 2, 0);
INSERT INTO Customer VALUES (84, 'Deepak Yadav_84', 56, 'Female', 'Premium', '2025-04-13', '2026-02-12', 48, 3, 1);
INSERT INTO Customer VALUES (85, 'Rahul Das_85', 44, 'Male', 'Basic', '2024-11-24', '2026-03-04', 156, 1, 0);
INSERT INTO Customer VALUES (86, 'Arjun Jain_86', 26, 'Female', 'Standard', '2024-02-11', '2026-04-01', 397, 2, 1);
INSERT INTO Customer VALUES (87, 'Suresh Shetty_87', 40, 'Other', 'Standard', '2025-05-28', '2026-04-18', 141, 2, 1);
INSERT INTO Customer VALUES (88, 'Deepak Patel_88', 39, 'Male', 'Basic', '2024-08-06', '2026-02-26', 181, 5, 0);
INSERT INTO Customer VALUES (89, 'Diya Chatterjee_89', 54, 'Male', 'Standard', '2026-03-23', '2026-04-11', 112, 1, 1);
INSERT INTO Customer VALUES (90, 'Riya Pillai_90', 60, 'Male', 'Standard', '2024-03-24', '2026-03-18', 397, 3, 1);
INSERT INTO Customer VALUES (91, 'Diya Trivedi_91', 53, 'Female', 'Premium', '2023-12-03', '2026-03-01', 292, 2, 0);
INSERT INTO Customer VALUES (92, 'Pooja Pandya_92', 49, 'Male', 'Premium', '2025-12-21', '2026-03-18', 177, 5, 0);
INSERT INTO Customer VALUES (93, 'Pooja Patel_93', 41, 'Female', 'Basic', '2024-12-17', '2026-04-03', 142, 5, 0);
INSERT INTO Customer VALUES (94, 'Aanya Yadav_94', 61, 'Other', 'Basic', '2023-11-10', '2026-02-18', 470, 5, 1);
INSERT INTO Customer VALUES (95, 'Aadhya Yadav_95', 18, 'Female', 'Standard', '2023-12-01', '2026-01-18', 229, 2, 0);
INSERT INTO Customer VALUES (96, 'Arjun Yadav_96', 59, 'Female', 'Standard', '2025-11-26', '2026-04-25', 98, 1, 0);
INSERT INTO Customer VALUES (97, 'Anika Joshi_97', 41, 'Other', 'Basic', '2025-12-17', '2026-02-09', 270, 2, 1);
INSERT INTO Customer VALUES (98, 'Rohan Menon_98', 56, 'Male', 'Premium', '2024-02-22', '2026-03-27', 315, 1, 1);
INSERT INTO Customer VALUES (99, 'Deepak Patel_99', 40, 'Female', 'Standard', '2023-11-08', '2026-01-22', 448, 4, 0);
INSERT INTO Customer VALUES (100, 'Nisha Kulkarni_100', 35, 'Other', 'Basic', '2024-05-13', '2026-03-20', 254, 5, 1);
INSERT INTO Customer VALUES (101, 'Ankit Das_101', 52, 'Male', 'Premium', '2024-11-11', '2026-02-09', 38, 1, 1);
INSERT INTO Customer VALUES (102, 'Anaya Kulkarni_102', 61, 'Other', 'Basic', '2024-10-04', '2026-02-02', 149, 2, 0);
INSERT INTO Customer VALUES (103, 'Meera Trivedi_103', 55, 'Other', 'Premium', '2026-01-02', '2026-04-23', 323, 5, 0);
INSERT INTO Customer VALUES (104, 'Alok Pandya_104', 21, 'Other', 'Basic', '2024-07-07', '2026-02-21', 377, 3, 0);
INSERT INTO Customer VALUES (105, 'Sai Bansal_105', 33, 'Male', 'Basic', '2025-07-25', '2026-02-25', 468, 3, 0);
INSERT INTO Customer VALUES (106, 'Priya Shetty_106', 41, 'Other', 'Standard', '2024-03-28', '2026-04-11', 300, 3, 0);
INSERT INTO Customer VALUES (107, 'Meera Mishra_107', 47, 'Other', 'Basic', '2026-03-10', '2026-01-27', 433, 1, 0);
INSERT INTO Customer VALUES (108, 'Myra Kumar_108', 47, 'Female', 'Premium', '2025-02-16', '2026-03-17', 283, 1, 0);
INSERT INTO Customer VALUES (109, 'Myra Desai_109', 67, 'Male', 'Basic', '2024-10-30', '2026-02-02', 281, 4, 1);
INSERT INTO Customer VALUES (110, 'Riya Bansal_110', 56, 'Other', 'Basic', '2025-12-27', '2026-01-23', 185, 5, 1);
INSERT INTO Customer VALUES (111, 'Arjun Jain_111', 27, 'Other', 'Premium', '2025-08-27', '2026-02-06', 154, 4, 0);
INSERT INTO Customer VALUES (112, 'Shaurya Singh_112', 55, 'Male', 'Basic', '2026-03-27', '2026-04-04', 327, 2, 0);
INSERT INTO Customer VALUES (113, 'Vihaan Singh_113', 45, 'Other', 'Standard', '2025-10-24', '2026-03-23', 72, 3, 0);
INSERT INTO Customer VALUES (114, 'Mahesh Kapoor_114', 51, 'Other', 'Standard', '2024-08-17', '2026-02-21', 254, 2, 0);
INSERT INTO Customer VALUES (115, 'Krishna Bansal_115', 38, 'Female', 'Standard', '2024-02-22', '2026-02-02', 256, 5, 1);
INSERT INTO Customer VALUES (116, 'Navya Patel_116', 58, 'Male', 'Premium', '2024-08-08', '2026-01-30', 39, 3, 0);
INSERT INTO Customer VALUES (117, 'Mahesh Jain_117', 48, 'Other', 'Standard', '2025-04-09', '2026-04-26', 417, 1, 0);
INSERT INTO Customer VALUES (118, 'Krishna Reddy_118', 33, 'Other', 'Standard', '2025-03-02', '2026-04-10', 354, 2, 0);
INSERT INTO Customer VALUES (119, 'Karan Singh_119', 66, 'Male', 'Premium', '2024-02-28', '2026-04-28', 116, 1, 1);
INSERT INTO Customer VALUES (120, 'Anika Desai_120', 53, 'Male', 'Basic', '2024-11-09', '2026-03-09', 65, 4, 0);
INSERT INTO Customer VALUES (121, 'Sai Yadav_121', 48, 'Male', 'Premium', '2025-01-24', '2026-04-01', 417, 2, 0);
INSERT INTO Customer VALUES (122, 'Saanvi Desai_122', 48, 'Other', 'Premium', '2026-02-08', '2026-02-25', 141, 2, 0);
INSERT INTO Customer VALUES (123, 'Nisha Pillai_123', 27, 'Male', 'Standard', '2024-01-02', '2026-04-28', 484, 4, 0);
INSERT INTO Customer VALUES (124, 'Kavya Naidu_124', 50, 'Male', 'Standard', '2023-08-17', '2026-03-16', 315, 1, 1);
INSERT INTO Customer VALUES (125, 'Rohan Jain_125', 47, 'Male', 'Premium', '2024-04-13', '2026-02-26', 202, 2, 1);
INSERT INTO Customer VALUES (126, 'Aditya Pillai_126', 40, 'Other', 'Basic', '2025-01-29', '2026-02-27', 11, 4, 0);
INSERT INTO Customer VALUES (127, 'Kavya Jain_127', 32, 'Other', 'Premium', '2025-05-09', '2026-02-09', 321, 5, 1);
INSERT INTO Customer VALUES (128, 'Mahesh Yadav_128', 22, 'Male', 'Basic', '2025-11-21', '2026-01-30', 36, 4, 0);
INSERT INTO Customer VALUES (129, 'Rahul Iyer_129', 61, 'Female', 'Basic', '2026-04-03', '2026-03-01', 193, 4, 1);
INSERT INTO Customer VALUES (130, 'Amit Yadav_130', 19, 'Female', 'Standard', '2025-02-09', '2026-04-26', 396, 3, 0);
INSERT INTO Customer VALUES (131, 'Priya Chauhan_131', 18, 'Female', 'Basic', '2025-07-08', '2026-04-22', 225, 2, 0);
INSERT INTO Customer VALUES (132, 'Anaya Verma_132', 47, 'Male', 'Standard', '2026-03-19', '2026-04-03', 377, 2, 0);
INSERT INTO Customer VALUES (133, 'Nitin Jain_133', 48, 'Female', 'Premium', '2024-11-27', '2026-04-04', 410, 5, 0);
INSERT INTO Customer VALUES (134, 'Pooja Gupta_134', 36, 'Female', 'Basic', '2026-03-06', '2026-03-27', 375, 3, 1);
INSERT INTO Customer VALUES (135, 'Sai Patel_135', 45, 'Female', 'Basic', '2024-12-24', '2026-03-07', 33, 4, 1);
INSERT INTO Customer VALUES (136, 'Neha Kumar_136', 43, 'Male', 'Premium', '2025-08-17', '2026-02-11', 11, 3, 0);
INSERT INTO Customer VALUES (137, 'Saanvi Patel_137', 50, 'Male', 'Standard', '2026-02-20', '2026-01-24', 170, 1, 1);
INSERT INTO Customer VALUES (138, 'Suresh Yadav_138', 22, 'Male', 'Premium', '2024-11-22', '2026-03-03', 322, 5, 0);
INSERT INTO Customer VALUES (139, 'Aditya Agarwal_139', 61, 'Female', 'Basic', '2024-02-18', '2026-02-23', 215, 2, 1);
INSERT INTO Customer VALUES (140, 'Ishaan Pandya_140', 57, 'Male', 'Basic', '2025-08-31', '2026-02-14', 278, 4, 0);
INSERT INTO Customer VALUES (141, 'Ira Jain_141', 26, 'Male', 'Basic', '2024-09-18', '2026-03-18', 128, 2, 1);
INSERT INTO Customer VALUES (142, 'Ishaan Shetty_142', 23, 'Other', 'Basic', '2024-05-12', '2026-04-04', 282, 5, 0);
INSERT INTO Customer VALUES (143, 'Aadhya Joshi_143', 28, 'Male', 'Premium', '2025-07-09', '2026-01-23', 144, 4, 0);
INSERT INTO Customer VALUES (144, 'Rahul Patel_144', 26, 'Other', 'Premium', '2025-03-22', '2026-03-25', 320, 5, 1);
INSERT INTO Customer VALUES (145, 'Pooja Mishra_145', 32, 'Female', 'Basic', '2024-05-07', '2026-02-07', 445, 5, 1);
INSERT INTO Customer VALUES (146, 'Alok Yadav_146', 19, 'Male', 'Standard', '2025-05-21', '2026-04-10', 26, 1, 0);
INSERT INTO Customer VALUES (147, 'Ankit Pillai_147', 26, 'Other', 'Standard', '2025-07-28', '2026-03-08', 222, 3, 0);
INSERT INTO Customer VALUES (148, 'Anaya Jain_148', 33, 'Other', 'Premium', '2024-04-12', '2026-03-20', 26, 5, 0);
INSERT INTO Customer VALUES (149, 'Aadhya Iyer_149', 67, 'Female', 'Basic', '2025-11-09', '2026-03-13', 422, 4, 0);
INSERT INTO Customer VALUES (150, 'Vivaan Pandya_150', 53, 'Male', 'Basic', '2025-11-12', '2026-04-18', 470, 5, 0);
INSERT INTO Customer VALUES (151, 'Neha Naidu_151', 49, 'Female', 'Premium', '2025-03-17', '2026-01-24', 353, 2, 0);
INSERT INTO Customer VALUES (152, 'Pari Kulkarni_152', 59, 'Female', 'Standard', '2025-05-06', '2026-03-17', 6, 5, 0);
INSERT INTO Customer VALUES (153, 'Reyansh Gupta_153', 20, 'Other', 'Standard', '2025-09-28', '2026-03-15', 390, 3, 0);
INSERT INTO Customer VALUES (154, 'Aditya Naidu_154', 39, 'Male', 'Basic', '2025-10-07', '2026-03-24', 240, 1, 0);
INSERT INTO Customer VALUES (155, 'Pari Reddy_155', 57, 'Male', 'Premium', '2025-06-19', '2026-03-15', 377, 5, 1);
INSERT INTO Customer VALUES (156, 'Krishna Patel_156', 52, 'Other', 'Premium', '2025-10-26', '2026-01-26', 86, 2, 1);
INSERT INTO Customer VALUES (157, 'Vihaan Das_157', 55, 'Male', 'Standard', '2023-11-07', '2026-04-14', 138, 5, 0);
INSERT INTO Customer VALUES (158, 'Nitin Bansal_158', 45, 'Male', 'Standard', '2025-05-29', '2026-04-16', 341, 5, 1);
INSERT INTO Customer VALUES (159, 'Mahesh Chauhan_159', 20, 'Other', 'Basic', '2025-05-26', '2026-03-13', 109, 2, 0);
INSERT INTO Customer VALUES (160, 'Alok Ghosh_160', 59, 'Female', 'Standard', '2024-08-12', '2026-02-14', 489, 3, 0);
INSERT INTO Customer VALUES (161, 'Amit Bansal_161', 67, 'Male', 'Basic', '2024-01-02', '2026-04-17', 180, 3, 1);
INSERT INTO Customer VALUES (162, 'Ishaan Chauhan_162', 27, 'Female', 'Standard', '2025-07-22', '2026-03-28', 329, 5, 0);
INSERT INTO Customer VALUES (163, 'Aarav Desai_163', 18, 'Other', 'Premium', '2025-10-26', '2026-01-28', 259, 4, 0);
INSERT INTO Customer VALUES (164, 'Aadhya Jain_164', 53, 'Male', 'Premium', '2024-01-16', '2026-04-03', 389, 3, 1);
INSERT INTO Customer VALUES (165, 'Reyansh Joshi_165', 54, 'Other', 'Basic', '2023-12-10', '2026-03-26', 397, 3, 1);
INSERT INTO Customer VALUES (166, 'Priya Shetty_166', 48, 'Other', 'Premium', '2024-04-06', '2026-04-21', 80, 1, 1);
INSERT INTO Customer VALUES (167, 'Neha Das_167', 47, 'Male', 'Basic', '2024-09-28', '2026-04-02', 465, 3, 1);
INSERT INTO Customer VALUES (168, 'Kavya Menon_168', 54, 'Other', 'Premium', '2024-12-24', '2026-03-06', 211, 2, 0);
INSERT INTO Customer VALUES (169, 'Ishaan Mehta_169', 54, 'Male', 'Basic', '2023-08-25', '2026-03-18', 435, 5, 0);
INSERT INTO Customer VALUES (170, 'Sai Pillai_170', 33, 'Other', 'Premium', '2024-12-26', '2026-02-09', 425, 4, 0);
INSERT INTO Customer VALUES (171, 'Aditya Das_171', 60, 'Male', 'Standard', '2025-07-10', '2026-01-24', 286, 1, 0);
INSERT INTO Customer VALUES (172, 'Aarav Pillai_172', 50, 'Other', 'Premium', '2025-06-03', '2026-01-22', 24, 1, 0);
INSERT INTO Customer VALUES (173, 'Suresh Gupta_173', 25, 'Female', 'Premium', '2023-10-12', '2026-04-02', 369, 2, 0);
INSERT INTO Customer VALUES (174, 'Diya Gupta_174', 31, 'Female', 'Basic', '2024-09-11', '2026-02-10', 383, 2, 1);
INSERT INTO Customer VALUES (175, 'Nitin Singh_175', 39, 'Female', 'Standard', '2023-12-10', '2026-03-14', 49, 3, 0);
INSERT INTO Customer VALUES (176, 'Vivaan Kapoor_176', 54, 'Other', 'Standard', '2025-09-17', '2026-03-23', 201, 4, 1);
INSERT INTO Customer VALUES (177, 'Navya Iyer_177', 44, 'Male', 'Standard', '2023-10-25', '2026-03-24', 262, 5, 1);
INSERT INTO Customer VALUES (178, 'Diya Pandya_178', 31, 'Male', 'Standard', '2024-04-01', '2026-01-19', 318, 5, 0);
INSERT INTO Customer VALUES (179, 'Saanvi Verma_179', 54, 'Male', 'Standard', '2026-02-06', '2026-04-26', 177, 3, 0);
INSERT INTO Customer VALUES (180, 'Ira Kapoor_180', 37, 'Female', 'Premium', '2025-01-20', '2026-03-26', 106, 3, 1);
INSERT INTO Customer VALUES (181, 'Alok Verma_181', 61, 'Male', 'Basic', '2025-03-06', '2026-02-12', 412, 2, 0);
INSERT INTO Customer VALUES (182, 'Myra Trivedi_182', 25, 'Male', 'Premium', '2025-07-12', '2026-03-03', 256, 5, 1);
INSERT INTO Customer VALUES (183, 'Karan Pillai_183', 20, 'Male', 'Basic', '2026-02-28', '2026-04-10', 437, 2, 1);
INSERT INTO Customer VALUES (184, 'Navya Singh_184', 43, 'Other', 'Premium', '2025-09-26', '2026-03-02', 26, 5, 1);
INSERT INTO Customer VALUES (185, 'Sneha Joshi_185', 22, 'Male', 'Standard', '2024-11-24', '2026-03-10', 46, 4, 0);
INSERT INTO Customer VALUES (186, 'Ira Verma_186', 62, 'Female', 'Basic', '2024-01-23', '2026-03-08', 281, 3, 1);
INSERT INTO Customer VALUES (187, 'Alok Iyer_187', 40, 'Male', 'Premium', '2024-10-12', '2026-02-21', 27, 5, 1);
INSERT INTO Customer VALUES (188, 'Navya Naidu_188', 48, 'Female', 'Basic', '2026-01-08', '2026-04-21', 340, 4, 1);
INSERT INTO Customer VALUES (189, 'Ankit Ghosh_189', 68, 'Female', 'Premium', '2026-02-19', '2026-03-02', 18, 2, 1);
INSERT INTO Customer VALUES (190, 'Sneha Nair_190', 22, 'Male', 'Premium', '2024-10-16', '2026-01-20', 494, 4, 1);
INSERT INTO Customer VALUES (191, 'Neha Ghosh_191', 51, 'Female', 'Premium', '2025-03-07', '2026-01-27', 164, 3, 1);
INSERT INTO Customer VALUES (192, 'Suresh Verma_192', 29, 'Other', 'Premium', '2023-09-05', '2026-04-12', 396, 1, 1);
INSERT INTO Customer VALUES (193, 'Mahesh Shetty_193', 46, 'Male', 'Premium', '2023-12-10', '2026-03-09', 221, 2, 0);
INSERT INTO Customer VALUES (194, 'Arjun Agarwal_194', 67, 'Female', 'Basic', '2024-05-01', '2026-01-27', 95, 4, 0);
INSERT INTO Customer VALUES (195, 'Navya Verma_195', 51, 'Male', 'Premium', '2023-12-31', '2026-01-27', 44, 4, 1);
