CustomerID,Name,Age,Gender,SubscriptionType,SubscriptionDate,LastLoginDate,TotalSessions,FeedbackScore,IsChurned
76,Nisha Nair_76,57,Male,Basic,17-11-2025,13-02-2026,444,3,1
77,Mahesh Naidu_77,18,Male,Basic,14-10-2024,11-02-2026,364,2,1
78,Deepak Bansal_78,68,Other,Standard,08-12-2025,24-01-2026,412,5,0
79,Rohan Naidu_79,66,Male,Basic,19-11-2023,12-04-2026,151,3,1
80,Ishaan Gupta_80,48,Male,Standard,14-08-2023,27-03-2026,86,5,1
81,Aadhya Iyer_81,53,Male,Standard,11-01-2025,28-01-2026,323,1,1
82,Aditya Das_82,40,Other,Premium,06-05-2025,10-03-2026,161,2,1
83,Alok Yadav_83,28,Other,Basic,05-09-2024,02-03-2026,186,2,0
84,Deepak Yadav_84,56,Female,Premium,13-04-2025,12-02-2026,48,3,1
85,Rahul Das_85,44,Male,Basic,24-11-2024,04-03-2026,156,1,0
86,Arjun Jain_86,26,Female,Standard,11-02-2024,01-04-2026,397,2,1
87,Suresh Shetty_87,40,Other,Standard,28-05-2025,18-04-2026,141,2,1
88,Deepak Patel_88,39,Male,Basic,06-08-2024,26-02-2026,181,5,0
89,Diya Chatterjee_89,54,Male,Standard,23-03-2026,11-04-2026,112,1,1
90,Riya Pillai_90,60,Male,Standard,24-03-2024,18-03-2026,397,3,1
91,Diya Trivedi_91,53,Female,Premium,03-12-2023,01-03-2026,292,2,0
92,Pooja Pandya_92,49,Male,Premium,21-12-2025,18-03-2026,177,5,0
93,Pooja Patel_93,41,Female,Basic,17-12-2024,03-04-2026,142,5,0
94,Aanya Yadav_94,61,Other,Basic,10-11-2023,18-02-2026,470,5,1
95,Aadhya Yadav_95,18,Female,Standard,01-12-2023,18-01-2026,229,2,0
96,Arjun Yadav_96,59,Female,Standard,26-11-2025,25-04-2026,98,1,0
97,Anika Joshi_97,41,Other,Basic,17-12-2025,09-02-2026,270,2,1
98,Rohan Menon_98,56,Male,Premium,22-02-2024,27-03-2026,315,1,1
99,Deepak Patel_99,40,Female,Standard,08-11-2023,22-01-2026,448,4,0
100,Nisha Kulkarni_100,35,Other,Basic,13-05-2024,20-03-2026,254,5,1
101,Ankit Das_101,52,Male,Premium,11-11-2024,09-02-2026,38,1,1
102,Anaya Kulkarni_102,61,Other,Basic,04-10-2024,02-02-2026,149,2,0
103,Meera Trivedi_103,55,Other,Premium,02-01-2026,23-04-2026,323,5,0
104,Alok Pandya_104,21,Other,Basic,07-07-2024,21-02-2026,377,3,0
105,Sai Bansal_105,33,Male,Basic,25-07-2025,25-02-2026,468,3,0
106,Priya Shetty_106,41,Other,Standard,28-03-2024,11-04-2026,300,3,0
107,Meera Mishra_107,47,Other,Basic,10-03-2026,27-01-2026,433,1,0
108,Myra Kumar_108,47,Female,Premium,16-02-2025,17-03-2026,283,1,0
109,Myra Desai_109,67,Male,Basic,30-10-2024,02-02-2026,281,4,1
110,Riya Bansal_110,56,Other,Basic,27-12-2025,23-01-2026,185,5,1
111,Arjun Jain_111,27,Other,Premium,27-08-2025,06-02-2026,154,4,0
112,Shaurya Singh_112,55,Male,Basic,27-03-2026,04-04-2026,327,2,0
113,Vihaan Singh_113,45,Other,Standard,24-10-2025,23-03-2026,72,3,0
114,Mahesh Kapoor_114,51,Other,Standard,17-08-2024,21-02-2026,254,2,0
115,Krishna Bansal_115,38,Female,Standard,22-02-2024,02-02-2026,256,5,1
116,Navya Patel_116,58,Male,Premium,08-08-2024,30-01-2026,39,3,0
117,Mahesh Jain_117,48,Other,Standard,09-04-2025,26-04-2026,417,1,0
118,Krishna Reddy_118,33,Other,Standard,02-03-2025,10-04-2026,354,2,0
119,Karan Singh_119,66,Male,Premium,28-02-2024,28-04-2026,116,1,1
120,Anika Desai_120,53,Male,Basic,09-11-2024,09-03-2026,65,4,0
121,Sai Yadav_121,48,Male,Premium,24-01-2025,01-04-2026,417,2,0
122,Saanvi Desai_122,48,Other,Premium,08-02-2026,25-02-2026,141,2,0
123,Nisha Pillai_123,27,Male,Standard,02-01-2024,28-04-2026,484,4,0
124,Kavya Naidu_124,50,Male,Standard,17-08-2023,16-03-2026,315,1,1
125,Rohan Jain_125,47,Male,Premium,13-04-2024,26-02-2026,202,2,1
126,Aditya Pillai_126,40,Other,Basic,29-01-2025,27-02-2026,11,4,0
127,Kavya Jain_127,32,Other,Premium,09-05-2025,09-02-2026,321,5,1
128,Mahesh Yadav_128,22,Male,Basic,21-11-2025,30-01-2026,36,4,0
129,Rahul Iyer_129,61,Female,Basic,03-04-2026,01-03-2026,193,4,1
130,Amit Yadav_130,19,Female,Standard,09-02-2025,26-04-2026,396,3,0
131,Priya Chauhan_131,18,Female,Basic,08-07-2025,22-04-2026,225,2,0
132,Anaya Verma_132,47,Male,Standard,19-03-2026,03-04-2026,377,2,0
133,Nitin Jain_133,48,Female,Premium,27-11-2024,04-04-2026,410,5,0
134,Pooja Gupta_134,36,Female,Basic,06-03-2026,27-03-2026,375,3,1
135,Sai Patel_135,45,Female,Basic,24-12-2024,07-03-2026,33,4,1
136,Neha Kumar_136,43,Male,Premium,17-08-2025,11-02-2026,11,3,0
137,Saanvi Patel_137,50,Male,Standard,20-02-2026,24-01-2026,170,1,1
138,Suresh Yadav_138,22,Male,Premium,22-11-2024,03-03-2026,322,5,0
139,Aditya Agarwal_139,61,Female,Basic,18-02-2024,23-02-2026,215,2,1
140,Ishaan Pandya_140,57,Male,Basic,31-08-2025,14-02-2026,278,4,0
141,Ira Jain_141,26,Male,Basic,18-09-2024,18-03-2026,128,2,1
142,Ishaan Shetty_142,23,Other,Basic,12-05-2024,04-04-2026,282,5,0
143,Aadhya Joshi_143,28,Male,Premium,09-07-2025,23-01-2026,144,4,0
144,Rahul Patel_144,26,Other,Premium,22-03-2025,25-03-2026,320,5,1
145,Pooja Mishra_145,32,Female,Basic,07-05-2024,07-02-2026,445,5,1
146,Alok Yadav_146,19,Male,Standard,21-05-2025,10-04-2026,26,1,0
147,Ankit Pillai_147,26,Other,Standard,28-07-2025,08-03-2026,222,3,0
148,Anaya Jain_148,33,Other,Premium,12-04-2024,20-03-2026,26,5,0
149,Aadhya Iyer_149,67,Female,Basic,09-11-2025,13-03-2026,422,4,0
150,Vivaan Pandya_150,53,Male,Basic,12-11-2025,18-04-2026,470,5,0
151,Neha Naidu_151,49,Female,Premium,17-03-2025,24-01-2026,353,2,0
152,Pari Kulkarni_152,59,Female,Standard,06-05-2025,17-03-2026,6,5,0
153,Reyansh Gupta_153,20,Other,Standard,28-09-2025,15-03-2026,390,3,0
154,Aditya Naidu_154,39,Male,Basic,07-10-2025,24-03-2026,240,1,0
155,Pari Reddy_155,57,Male,Premium,19-06-2025,15-03-2026,377,5,1
156,Krishna Patel_156,52,Other,Premium,26-10-2025,26-01-2026,86,2,1
157,Vihaan Das_157,55,Male,Standard,07-11-2023,14-04-2026,138,5,0
158,Nitin Bansal_158,45,Male,Standard,29-05-2025,16-04-2026,341,5,1
159,Mahesh Chauhan_159,20,Other,Basic,26-05-2025,13-03-2026,109,2,0
160,Alok Ghosh_160,59,Female,Standard,12-08-2024,14-02-2026,489,3,0
161,Amit Bansal_161,67,Male,Basic,02-01-2024,17-04-2026,180,3,1
162,Ishaan Chauhan_162,27,Female,Standard,22-07-2025,28-03-2026,329,5,0
163,Aarav Desai_163,18,Other,Premium,26-10-2025,28-01-2026,259,4,0
164,Aadhya Jain_164,53,Male,Premium,16-01-2024,03-04-2026,389,3,1
165,Reyansh Joshi_165,54,Other,Basic,10-12-2023,26-03-2026,397,3,1
166,Priya Shetty_166,48,Other,Premium,06-04-2024,21-04-2026,80,1,1
167,Neha Das_167,47,Male,Basic,28-09-2024,02-04-2026,465,3,1
168,Kavya Menon_168,54,Other,Premium,24-12-2024,06-03-2026,211,2,0
169,Ishaan Mehta_169,54,Male,Basic,25-08-2023,18-03-2026,435,5,0
170,Sai Pillai_170,33,Other,Premium,26-12-2024,09-02-2026,425,4,0
171,Aditya Das_171,60,Male,Standard,10-07-2025,24-01-2026,286,1,0
172,Aarav Pillai_172,50,Other,Premium,03-06-2025,22-01-2026,24,1,0
173,Suresh Gupta_173,25,Female,Premium,12-10-2023,02-04-2026,369,2,0
174,Diya Gupta_174,31,Female,Basic,11-09-2024,10-02-2026,383,2,1
175,Nitin Singh_175,39,Female,Standard,10-12-2023,14-03-2026,49,3,0
176,Vivaan Kapoor_176,54,Other,Standard,17-09-2025,23-03-2026,201,4,1
177,Navya Iyer_177,44,Male,Standard,25-10-2023,24-03-2026,262,5,1
178,Diya Pandya_178,31,Male,Standard,01-04-2024,19-01-2026,318,5,0
179,Saanvi Verma_179,54,Male,Standard,06-02-2026,26-04-2026,177,3,0
180,Ira Kapoor_180,37,Female,Premium,20-01-2025,26-03-2026,106,3,1
181,Alok Verma_181,61,Male,Basic,06-03-2025,12-02-2026,412,2,0
182,Myra Trivedi_182,25,Male,Premium,12-07-2025,03-03-2026,256,5,1
183,Karan Pillai_183,20,Male,Basic,28-02-2026,10-04-2026,437,2,1
184,Navya Singh_184,43,Other,Premium,26-09-2025,02-03-2026,26,5,1
185,Sneha Joshi_185,22,Male,Standard,24-11-2024,10-03-2026,46,4,0
186,Ira Verma_186,62,Female,Basic,23-01-2024,08-03-2026,281,3,1
187,Alok Iyer_187,40,Male,Premium,12-10-2024,21-02-2026,27,5,1
188,Navya Naidu_188,48,Female,Basic,08-01-2026,21-04-2026,340,4,1
189,Ankit Ghosh_189,68,Female,Premium,19-02-2026,02-03-2026,18,2,1
190,Sneha Nair_190,22,Male,Premium,16-10-2024,20-01-2026,494,4,1
191,Neha Ghosh_191,51,Female,Premium,07-03-2025,27-01-2026,164,3,1
192,Suresh Verma_192,29,Other,Premium,05-09-2023,12-04-2026,396,1,1
193,Mahesh Shetty_193,46,Male,Premium,10-12-2023,09-03-2026,221,2,0
194,Arjun Agarwal_194,67,Female,Basic,01-05-2024,27-01-2026,95,4,0
195,Navya Verma_195,51,Male,Premium,31-12-2023,27-01-2026,44,4,1
196,Simran Kulkarni_196,24,Male,Basic,27-05-2025,26-03-2026,50,2,1
197,Anaya Agarwal_197,46,Female,Basic,29-01-2024,13-04-2026,178,3,1
198,Meera Desai_198,32,Male,Basic,09-09-2023,27-04-2026,259,5,1
199,Amit Yadav_199,50,Female,Standard,04-05-2024,02-04-2026,178,3,0
200,Ira Yadav_200,55,Other,Basic,23-09-2025,18-04-2026,174,5,1
201,Simran Patel_201,56,Male,Premium,23-01-2025,01-02-2026,339,1,1
202,Meera Patel_202,48,Male,Premium,11-02-2025,20-03-2026,485,4,0
203,Karan Menon_203,56,Female,Premium,25-10-2023,16-04-2026,325,4,0
204,Neha Shetty_204,36,Male,Basic,09-01-2026,21-03-2026,344,2,1
205,Reyansh Reddy_205,33,Male,Premium,29-09-2024,07-02-2026,152,2,0
206,Arjun Singh_206,34,Male,Standard,01-03-2026,07-02-2026,392,5,0
207,Karan Singh_207,59,Male,Premium,25-06-2025,24-04-2026,295,1,1
208,Vivaan Iyer_208,63,Other,Standard,07-08-2024,06-04-2026,91,2,0
209,Kavya Kapoor_209,18,Male,Premium,21-08-2023,06-03-2026,154,3,1
210,Navya Joshi_210,37,Other,Basic,09-01-2026,16-03-2026,314,1,1
211,Kavya Desai_211,55,Female,Basic,08-10-2025,05-03-2026,9,3,1
212,Nitin Pandya_212,39,Female,Basic,24-12-2025,28-02-2026,465,5,0
213,Anika Kulkarni_213,68,Other,Standard,26-02-2026,09-04-2026,377,5,0
214,Vikas Pandya_214,25,Female,Basic,06-08-2023,28-04-2026,106,1,1
215,Aanya Gupta_215,27,Other,Standard,24-04-2025,18-03-2026,398,4,0
216,Simran Shetty_216,39,Male,Basic,13-03-2025,27-03-2026,321,4,0
217,Anaya Kumar_217,30,Other,Standard,16-05-2025,05-03-2026,328,5,0
218,Vivaan Desai_218,34,Other,Standard,18-05-2025,01-04-2026,426,5,1
219,Navya Ghosh_219,31,Other,Premium,27-01-2026,06-02-2026,277,3,1
220,Aditya Mishra_220,66,Male,Basic,09-06-2024,04-03-2026,246,4,0
221,Ira Shetty_221,36,Male,Premium,11-06-2025,02-02-2026,248,2,0
222,Anaya Das_222,20,Male,Basic,25-05-2025,07-03-2026,401,4,1
223,Suresh Yadav_223,39,Other,Basic,16-08-2023,02-03-2026,264,5,0
224,Pari Verma_224,34,Other,Basic,12-07-2025,26-02-2026,195,4,1
225,Amit Iyer_225,47,Other,Standard,07-01-2026,21-03-2026,129,1,1
226,Mahesh Shah_226,29,Other,Basic,14-09-2023,10-04-2026,386,1,0
227,Suresh Naidu_227,26,Other,Standard,13-09-2023,07-03-2026,117,2,1
228,Riya Desai_228,50,Other,Basic,28-04-2025,11-02-2026,273,1,0
229,Navya Ghosh_229,48,Other,Premium,10-07-2024,30-03-2026,23,4,1
230,Amit Pillai_230,67,Other,Basic,02-04-2025,19-01-2026,346,1,0
231,Nisha Gupta_231,56,Female,Basic,09-12-2025,25-01-2026,255,3,1
232,Neha Pandya_232,39,Other,Premium,18-07-2024,22-03-2026,426,2,0
233,Saanvi Ghosh_233,31,Female,Standard,19-11-2023,27-02-2026,269,3,0
234,Ira Pillai_234,47,Other,Premium,27-07-2025,19-03-2026,327,3,1
235,Pooja Pandya_235,29,Other,Standard,28-04-2026,25-03-2026,351,2,0
236,Alok Iyer_236,55,Female,Premium,15-09-2024,28-01-2026,204,2,0
237,Mahesh Desai_237,49,Other,Basic,13-10-2025,17-02-2026,88,4,1
238,Pari Ghosh_238,46,Female,Premium,03-12-2023,27-04-2026,289,5,1
239,Vihaan Mishra_239,19,Male,Premium,27-11-2025,31-03-2026,387,1,1
240,Simran Mehta_240,29,Male,Basic,21-06-2025,04-04-2026,298,5,0
241,Pooja Gupta_241,51,Male,Basic,14-08-2025,23-03-2026,274,2,0
242,Riya Patel_242,29,Other,Premium,16-11-2023,18-02-2026,97,5,0
243,Rahul Desai_243,45,Female,Premium,21-12-2025,15-02-2026,432,5,1
244,Priya Mehta_244,56,Male,Standard,26-10-2023,20-01-2026,418,5,0
245,Simran Mishra_245,24,Other,Basic,06-02-2024,03-03-2026,46,5,1
246,Reyansh Kulkarni_246,56,Other,Basic,26-04-2024,15-03-2026,211,2,1
247,Rohan Mishra_247,26,Male,Premium,22-03-2025,27-01-2026,484,1,1
248,Pooja Pillai_248,50,Male,Basic,23-04-2026,26-02-2026,276,4,0
249,Vihaan Kulkarni_249,32,Female,Standard,14-08-2025,20-04-2026,129,4,0
250,Anaya Chatterjee_250,19,Male,Basic,11-11-2023,05-02-2026,190,1,1
251,Vikas Kulkarni_251,49,Male,Basic,17-04-2024,21-04-2026,120,4,0
252,Sneha Trivedi_252,27,Other,Premium,19-06-2025,15-04-2026,365,5,0
253,Vihaan Gupta_253,42,Female,Standard,10-04-2026,26-02-2026,260,3,0
254,Ira Naidu_254,54,Female,Premium,17-03-2026,09-04-2026,154,2,1
255,Diya Shah_255,52,Male,Basic,23-10-2024,16-02-2026,488,4,0
256,Alok Pillai_256,60,Male,Premium,06-09-2025,24-03-2026,392,4,1
257,Ankit Desai_257,36,Female,Standard,18-11-2025,13-02-2026,14,3,0
258,Vivaan Agarwal_258,47,Male,Basic,05-12-2024,28-02-2026,457,5,0
259,Mahesh Yadav_259,31,Male,Standard,16-10-2023,09-03-2026,87,4,0
260,Navya Chatterjee_260,63,Other,Premium,10-05-2025,17-04-2026,253,4,1
261,Ankit Yadav_261,27,Other,Basic,27-12-2023,16-02-2026,391,2,1
262,Karan Menon_262,57,Male,Basic,25-02-2024,12-02-2026,399,1,1
263,Aarav Pandya_263,24,Other,Standard,04-12-2024,01-04-2026,302,3,1
264,Reyansh Sharma_264,38,Female,Standard,10-01-2025,27-01-2026,102,5,1
265,Diya Shah_265,39,Female,Premium,06-07-2024,13-03-2026,408,4,1
266,Anaya Das_266,63,Male,Basic,25-10-2024,28-04-2026,218,2,1
267,Anaya Jain_267,54,Female,Premium,25-11-2024,27-04-2026,88,3,0
268,Ankit Chauhan_268,33,Female,Premium,16-10-2024,26-04-2026,394,5,1
269,Anika Bansal_269,20,Female,Basic,01-04-2024,19-02-2026,276,2,1
270,Amit Gupta_270,55,Male,Standard,30-04-2024,27-03-2026,207,1,0
271,Suresh Ghosh_271,27,Other,Standard,01-01-2025,30-01-2026,204,3,0
272,Ira Menon_272,60,Male,Standard,28-05-2024,24-01-2026,137,3,0
273,Anika Agarwal_273,58,Female,Basic,25-01-2026,26-03-2026,182,5,0
274,Vikas Menon_274,66,Other,Basic,18-10-2025,11-02-2026,191,4,1
275,Sneha Mishra_275,64,Other,Basic,25-10-2024,26-01-2026,37,2,1
276,Deepak Shetty_276,30,Male,Premium,27-07-2025,20-01-2026,18,2,0
277,Nisha Naidu_277,45,Female,Standard,15-10-2025,31-03-2026,376,2,0
278,Kavya Chauhan_278,50,Other,Standard,16-12-2024,19-01-2026,451,5,0
279,Shaurya Sharma_279,67,Female,Standard,20-10-2024,15-02-2026,216,5,1
280,Kavya Naidu_280,61,Male,Standard,13-09-2023,21-02-2026,10,3,1
281,Amit Shah_281,20,Other,Standard,15-12-2023,20-04-2026,146,3,1
282,Diya Mehta_282,63,Other,Premium,12-09-2025,03-02-2026,277,5,0
283,Vivaan Joshi_283,36,Male,Standard,30-03-2024,21-02-2026,66,2,0
284,Rahul Agarwal_284,23,Male,Basic,15-02-2024,06-03-2026,7,5,1
285,Pooja Iyer_285,48,Other,Basic,09-07-2025,29-01-2026,81,5,1
286,Anika Chatterjee_286,27,Other,Standard,24-04-2025,19-01-2026,373,2,0
287,Deepak Chauhan_287,37,Male,Standard,05-01-2026,08-02-2026,183,4,1
288,Vikas Ghosh_288,54,Other,Premium,23-02-2024,29-03-2026,285,4,1
289,Vihaan Menon_289,54,Male,Basic,25-12-2023,30-01-2026,208,4,1
290,Meera Mishra_290,64,Other,Standard,26-10-2025,04-02-2026,454,2,1
291,Vivaan Joshi_291,25,Other,Basic,07-09-2024,10-03-2026,427,2,1
292,Myra Gupta_292,18,Other,Premium,04-09-2023,11-04-2026,405,2,1
293,Anaya Mishra_293,27,Other,Standard,23-01-2024,07-03-2026,81,1,0
294,Ira Mishra_294,41,Male,Premium,15-01-2026,12-04-2026,207,1,1
295,Diya Ghosh_295,37,Male,Basic,09-12-2024,10-03-2026,498,4,1
296,Sneha Iyer_296,37,Female,Standard,27-10-2025,18-01-2026,169,1,0
297,Alok Yadav_297,37,Female,Basic,11-10-2025,12-04-2026,385,4,0
298,Ankit Kulkarni_298,54,Other,Basic,17-10-2025,24-02-2026,161,3,0
299,Priya Singh_299,52,Female,Premium,02-06-2025,21-04-2026,248,5,1
300,Karan Patel_300,40,Male,Standard,20-04-2024,31-03-2026,245,3,0
301,Ankit Shetty_301,32,Other,Standard,07-06-2025,08-03-2026,460,5,0
302,Riya Chatterjee_302,56,Female,Premium,04-11-2023,09-02-2026,449,2,0
303,Alok Reddy_303,22,Female,Basic,22-07-2024,31-01-2026,395,5,1
304,Shaurya Ghosh_304,36,Male,Basic,13-03-2024,07-02-2026,21,3,0
305,Deepak Joshi_305,38,Female,Premium,27-08-2023,08-02-2026,353,4,1
306,Riya Verma_306,38,Other,Standard,28-11-2024,27-04-2026,455,3,1
307,Suresh Desai_307,55,Other,Premium,17-10-2023,11-04-2026,216,1,1
308,Rahul Pillai_308,36,Male,Basic,19-12-2023,22-03-2026,28,1,1
309,Anika Shah_309,62,Female,Premium,13-01-2026,20-04-2026,332,5,0
310,Ira Kumar_310,51,Other,Basic,07-02-2024,04-03-2026,377,2,0
311,Vihaan Ghosh_311,59,Female,Standard,18-12-2023,21-01-2026,240,5,0
312,Reyansh Pandya_312,41,Other,Basic,04-12-2024,27-04-2026,428,1,1
313,Suresh Nair_313,21,Other,Premium,01-10-2024,12-03-2026,115,4,0
314,Sneha Kapoor_314,35,Male,Standard,04-07-2024,11-04-2026,106,2,1
315,Pooja Reddy_315,68,Other,Premium,18-09-2024,18-01-2026,327,5,0
316,Simran Shah_316,29,Male,Standard,22-03-2026,08-04-2026,1,2,0
317,Rahul Naidu_317,63,Male,Basic,12-05-2024,07-03-2026,322,2,1
318,Sai Yadav_318,30,Other,Premium,10-10-2024,08-02-2026,109,5,1
319,Rohan Naidu_319,33,Other,Premium,02-08-2025,05-02-2026,85,1,0
320,Ishaan Singh_320,62,Male,Standard,14-06-2025,15-04-2026,497,1,0
321,Myra Shetty_321,20,Other,Standard,06-12-2023,09-02-2026,436,2,0
322,Vivaan Trivedi_322,32,Female,Basic,28-09-2023,02-04-2026,130,5,1
323,Aadhya Kapoor_323,19,Other,Standard,17-05-2025,23-04-2026,495,5,0
324,Vikas Kapoor_324,56,Male,Basic,21-10-2024,25-04-2026,462,1,0
325,Nisha Chatterjee_325,44,Male,Standard,17-11-2023,27-01-2026,164,3,1
326,Navya Shetty_326,18,Female,Standard,14-05-2024,25-01-2026,195,4,1
327,Aditya Bansal_327,38,Other,Premium,24-04-2025,22-03-2026,37,4,0
328,Vihaan Trivedi_328,39,Other,Basic,10-05-2025,25-02-2026,122,5,0
329,Arjun Verma_329,59,Male,Premium,25-08-2023,17-04-2026,317,2,0
330,Ankit Shetty_330,41,Female,Basic,12-06-2025,12-02-2026,10,4,1
331,Deepak Iyer_331,41,Other,Standard,12-12-2023,21-04-2026,122,1,0
332,Arjun Das_332,52,Other,Standard,13-03-2026,23-03-2026,423,5,1
